"type","question","options","answer"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，货物和服务采购项目给予
小微企业的价格扣除优惠由6%-10%提高至多少？（
）","A. 10%-15%
B. 15%-20%
C. 20%-25%
D. 25%-30%","
B"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，2022年下半年实施的政府
采购项目，采购人可以给予中小企业的预付款比例
是多少？（ ）","A. 不低于合同金额的30%
B. 不低于合同金额的50%
C. 不低于合同金额的70%
D. 不低于合同金额的80%","
B"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，大中型企业与小微企业组
成联合体的评审优惠幅度由2%-3%提高至多少？（
）","A. 3%-4%
B. 4%-5%
C. 5%-6%
D. 6%-7%","
C"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，2022年下半年实施的政府
采购项目，面向中小企业的预留份额由30%以上提
高至多少？（ ）","A. 35%以上
B. 40%以上
C. 45%以上
D. 50%以上","
B"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，以下哪种采购方式适用于
紧急情况下的采购？（ ）","A. 公开招标
B. 邀请招标
C. 单一来源采购
D. 询价","
C"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，以下哪种措施可以减轻中
小企业的资金压力？（ ）","A. 提高预付款比例
B. 取消所有保证金
C. 提高投标保证金比例
D. 取消政府采购合同融资","
A"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，以下哪种措施可以方便中
小企业参与政府采购活动？（ ）","A. 推行远程谈判（磋商）
B. 取消所有投标保证金
C. 提高投标保证金比例
D. 取消政府采购合同融资","
A"
,,,
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，以下哪种措施可以提高小
微企业的价格评审优惠幅度？（ ）","A. 提高价格扣除优惠
B. 取消价格扣除优惠
C. 提高投标保证金比例
D. 取消政府采购合同融资","
A"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，以下哪种措施可以提高面
向中小企业的预留份额？（ ）","A. 提高预留份额比例
B. 取消预留份额要求
C. 提高投标保证金比例
D. 取消政府采购合同融资","
A"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的福建省财政厅关于进一步加大政府
采购支持中小企业力度的通知》，以下哪种措施可
以加强政府采购预算编制和审核？（ ）","A. 主管预算单位应组织评估政府采购项目
B. 主管预算单位应取消所有预留份额要求
C. 主管预算单位应提高投标保证金比例
D. 主管预算单位应取消政府采购合同融资","
A"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，2022年下半年实施的政府
采购项目，采购人可以给予中小企业的预付款比例
是多少？（ ）","A. 不低于合同金额的30%
B. 不低于合同金额的50%
C. 不低于合同金额的70%
D. 不低于合同金额的80%","
B"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，大中型企业与小微企业组
成联合体的评审优惠幅度由2%-3%提高至多少？（
）","A. 3%-4%
B. 4%-5%
C. 5%-6%
D. 6%-7%","
C"
"
单选题","根据《福建省财政厅关于进一步加大政府采购支持
中小企业力度的通知》，2022年下半年实施的政府
采购项目，面向中小企业的预留份额由30%以上提
高至多少？（ ）","A. 35%以上
B. 40%以上
C. 45%以上
D. 50%以上","
B"
