"type","question","options","answer"
"单选题","福建省财政厅发布《关于加强政府采购绿色采购工作的通知》的核心目标不包括以下哪项？（）","A. 充分发挥政府采购政策功能
B. 降低政府采购成本
C. 支持绿色低碳广品
D. 助力绿色经济发展","B"
"单选题","根据福建省财政厅发布《关于加强政府采购绿色采购工作的通知》政府采购应当有助于实现（）政策目标。","A. 保护环境
B. 降低政府采购成本
C. 提高效率
D. 保护营商环境","A"
"单选题","政府采购应当有助于实现保护环境政策目标。()应当认真履行采购需求管理主体责任。","A. 监管部门
B. 采购人
C. 代理机构
D. 供应商","B"
"单选题","采购人应当加强对（）的形成和实现过程的内部控制和风险管理，落实保护环境等政府采购政策功能。","A. 采购需求
B. 采购计划
C. 采购文件
D. 评审材料","A"
"单选题","根据福建省财政厅发布《关于加强政府采购绿色采购工作的通知》采购人应当落实（）等政府采购政策功能。","A. 保护环境
B. 降低政府采购成本
C. 提高效率
D. 保护营商环境","A"
"单选题","采购人拟采购的产品属于节能产品、环境标志产品政府采购品目清单范围的，采购人及其委托的采购代理机构应当（）。","A. 不予采购
B. 考虑采购
C. 减少采购
D. 优先采购或强制采购","D"
"单选题","采购人拟采购的产品属于节能产品、环境标志产品政府采购品目清单范围的，采购人及其委托的采购代理机构（）优先采购或强制采购。","A. 可以
B. 应当
C. 报请上级预算单位批准后
D. 报请财政部门批准后","B"
"单选题","采购人拟采购的产品属于（）范围的，采购人及其委托的采购代理机构应当优先采购或强制采购。","A. 集中采购目录
B. 部门集中采购目录
C. 节能产品、环境标志产品政府采购品目清单
D. 限额标准","C"
"单选题","采购人拟采购的产品属于节能产品、环境标志产品政府采购品目清单范围的，采购人及其委托的采购代理机构应当依据（），对获得证书的产品实施政府优先采购或强制采购（）","A. 有效期之内的CE认证证书
B. 注册有效的EPA认证证书
C. 有效期之内的JIS认证证书
D. 国家确定的认证机构出具的、处于有效期之内的节能产品、环境标志产品认证证书","D"
"单选题","细化绿色采购需求标准执行要求。采购人及其委托的采购代理机构要严格落实（）制定的商品包装、快递包装、绿色数据中心等政府采购需求标准。","A. 国务院
B. 国家发展和改革委员会
C. 财政部
D. 省级人民政府财政部门","C"
"单选题","采购人及其委托的采购代理机构应当对节能产品、环境标志产品政府采购品目清单范围内，实施优先采购的产品，给予产品价格报价（）的扣除，用扣除后的价格参加评审。","A. 1%-5%
B. 5%-10%
C. 10%-20%
D. 20%-30%","C"
"单选题","采购标的同时包含节能产品、环境标志产品政府采购品目清单范围内，实施优先采购的产品，和其它非优先采购产品的，()","A. 所有标的物都享受给予节能产品、环境标志产品的价格扣除优惠。
B. 标的物都不得享受给予节能产品、环境标志产品的价格扣除优惠。
C. 非优先采购产品按一定比例享受给予节能产品、环境标志产品的价格扣除优惠。
D. 应当在采购文件中要求供应商对优先采购产品和非优先采购产品进行分项报价，非优先采购产品的报价不得享受给予节能产品、环境标志产品的价格扣除优惠。","D"
"单选题","采购标的同时包含其它非优先采购产品的，应当在采购文件中要求供应商对优先采购产品和非优先采购产品进行分项报价，非优先采购产品的报价（）享受给予节能产品、环境标志产品的价格扣除优惠。","A. 可以
B. 应当
C. 不得
D. 部分","C"
"单选题","加大新能源车船采购力度，机要通信等公务用车（）","A. 优先采购新能源汽车
B. 按规定比例采购新能源汽车
C. 逐步提高比例采购新能源汽车
D. 除特殊地理环境等因素外原则上采购新能源汽车","D"
"单选题","发挥网上超市的引导作用。政府采购网上超市促进采购人选择绿色低碳产品，应当通过的措施不包括（）。","A. 特色场馆
B. 搜索排序
C. 流量引导
D. 价格优惠","D"
"单选题","对于（）的产品，政府采购网上超市应当加挂标识，通过优先展示、政策提醒等方式，引导采购人落实政府绿色采购政策。","A. 价格最低
B. 购买量最大
C. 好评最多
D. 实行政府优先采购","D"
"单选题","在实施政府采购支持绿色建材促进建筑品质提升政策的城市，运用政府采购政策，要全面建设（）以上绿色建筑。","A. 基本级
B. 一星级
C. 二星级
D. 三星级","C"
"单选题","各级财政部门应当将（）政府绿色采购政策落实情况作为政府采购活动监督检查的重要内容。","A. 供应商和米购人
B. 供应商和采购代理机构
C. 采购人和采购代理机构
D. 采购人和监管部门","C"
"单选题","《福建省财政厅关于加强政府绿色采购工作的通知》自2024年5月1日起执行，有效期（) 0","A. 1年
B. 2年
C. 3年
D. 5年","D"
"单选题","《福建省财政厅关于加强政府绿色采购工作的通知》由（）负责解释。","A. 福建省人民政府
B. 福建省发展和改革委员会
C. 福建省财政厅
D. 福建省住房和城乡建设厅","C"
"单选题","福建省某机关单位拟采购一批办公电脑，己明确该产品纳入节能产品清单。采购人在编制招标文件时，对投标产品提出要求。根据《关于加强政府采购绿色采购工作的通知》，下列要求中最符合规定的是（）","A. 要求投标产品必须为某进口品牌，且附带节能产品认证
B. 要求投标产品需具备国家认可的节能产品认证证书，且节能效率达到标准要求
C. 要求投标产品价格不得高于市场均价的抓％，不考虑节能指标
D. 要求投标供应商必须为省内企业，外省企业的节能产品一律不接受","B"
"单选题","福建省某高校通过政府采购一批节能空调，供应商交付产品后，校方组织履约验收。根据通知要求，验收环节无需重点核查的内容是（）","A. 空调的节能产品认证证书与中标产品型号是否一致
B. 空调的实际运行能耗是否符合招标文件约定的节能标准
C. 空调的遥控器是否具有蓝牙连接等招标文件未要求的附加功能
D. 供应商是否采用可循环包装材料进行包装","C"
"多选题","福建省财政厅发布《关于加强政府采购绿色采购工作的通知》是为贯彻落实（）等文件（）","A. 中共福建省委、福建省人民政府《关于完整准确全面贯彻新发展理念做好碳达峰碳中和工作的实施意见》
B. 《财政部关于印发〈财政支持做好碳达峰碳中和工作的意见〉的通知》
C. 国务院办公厅《关于促进中小企业健康发展的指导意见》
D. 财政部《政府采购促进中小企业发展管理办法》","AB"
"多选题","福建省财政厅发布《关于加强政府采购绿色采购工作的通知》的核心目标包括W下哪几项？（）","A. 充分发挥政府采购政策功能
B. 降低政府采购成本
C. 支持绿色低碳广品
D. 助力绿色经济发展","ACD"
"多选题","强化政府采购需求管理主体责任。政府采购应当有助于实现保护环境政策目标，对于政府采购需求管理的责任主体，以下错误的是 ( )","A. 监管部门
B. 采购人
C. 采购代理机构
D. 供应商","ACD"
"多选题","采购人拟采购的产品属于节能产品、环境标志产品政府采购品目清单范围的，采购人及其委托的采购代理机构应当依据（）实施政府优先采购或强制采购。","A. 有效期之内的CE认证证书
B. 注册有效的EPA认证证书
C. 国家确定的认证机构出具的、处于有效期之内的节能产品认证证书
D. 国家确定的认证机构出具的、处于有效期之内的环境标志产品认证证书","CD"
"多选题","细化绿色采购需求标准执行要求。（）要严格落实财政部制定的政府采购需求标准。","A. 监管部门
B. 采购人
C. 采购代理机构
D. 供应商","BC"
"多选题","细化绿色采购需求标准执行要求。要严格落实财政部制定的（）等政府采购需求标准。","A. 商品包装
B. 快递包装
C. 运输方式
D. 绿色数据中心","ABD"
"多选题","细化绿色采购需求标准执行要求，采购项目涉及已制定需求标准的，应当根据需求标准提出的指标编制政府采购项目的采购文件，并在合同中明确对相关指标的（）。","A. 验收方式
B. 违约责任
C. 担保方式
D. 执行标准","AB"
"多选题","采购标的同时包含节能产品、环境标志产品政府采购品目清单范围内，实施优先采购的产品，和其它非优先采购产品的，以下说法错误的是；()","A. 所有标的物都享雙给予节能产品、环境标志产品的价格扣除优惠。
B. 所有标的物都不得享受给予节能产品、环境标志产品的价格扣除优惠。
C. 非优先采购产品按一定比例享受给予节能产品、环境标志产品的价格扣除优惠。
D. 应当在采购文件中要求供应商对优先采购产品和非优先采购产品进行分项报价，非优先采购产品的报价不得享受给予节能产品、环境标志产品的价格扣除优惠。","ABC"
"多选题","发挥网上超市的引导作用。政府采购网上超市应当通过（）等措施，促进采购人选择绿色低碳产品。","A. 特色场馆
B. 捜索排序
C. 流量引导
D. 价格优惠","ABC"
"多选题","对于实行政府优先采购的产品，政府采购网上超市应当加挂标识，通过（）等方式，引导采购人落实政府绿色采购政策。","A. 优先展不
B. 政策提醒
C. 减价宣传
D. 屏蔽其他同类产品","AB"
"多选题","在实施政府采购支持绿色建材促进建筑品质提升政策的城市，要大力发展（）等新型建筑工业化建造方式","A. 标准化
B. 数字化
C. 装配式
D. 智能化","CD"
"多选题","在实施政府采购支持绿色建材促进建筑品质提升政策的城市，采购人要运用政府采购政策积极推广应用（）。","A. 智能建造技术
B. 先进建造装备
C. 绿色建筑
D. 绿色建材","CD"
"多选题","各级财政部门应当将（）政府绿色采购政策落实情况作为政府采购活动监督检查的重要内容。","A. 供应商
B. 采购人
C. 采购代理机构
D. 监管部门","BC"
