"type","question","options","answer"
"单选题","某单位采购一批实验室专用试剂，该试剂只有一家 国内供应商B公司生产。采购预算为500万元，超过公开招标数额标准。采购人拟采用单一来源方式采购，其正确流程是：","A. 直接与B公司谈判并签巧合同
B. 将项目信息在指定媒体公示5个工作日，无异议后报财政部口批准
C. 报主管部口批准后实施采购
D. 邀请行业专家论证后即可采购","B"
"单选题","下列哪项不属于政府采购活动中采购人的义务？","A. 依法编制政府采购预算
B. 妥善保存政府采购文件
C. 按照约定向供应商支付采购资金
D. 确定供应商的投标价格","D"
"单选题","政府采购项目的投标有效期从何时开始起算？","A. 发售招标文件之日
B. 提交投标文件截止之日
C. 评标完成之日
D. 招标公告发布之日","B"
"单选题","采购人委托某社会代理机构组织一个预算380万元 的系统集成项目。代理机构在招标公告中要求，投 标人需在项目所在地设有分公司。此要求属于：","A. 合理的本地化服务要求
B. 以不合理条件限制或排斥潜在供应商
C. 保证项目顺利实施的必要条件
D. 对供应商履约能力的正常考察","B"
"单选题","政府采购合同履行中，采购人需追加采购一批与原 合同相同的办公耗材，追加金额为8万元，原合同 金额为100万元。合法且高效的处理方式是：","A. 直接与原供应商签订补充合同
B. 重新组织公开招标采购
C. 采用竞争性谈判方式采购
D. 报财政部门审批后采用单一来源采购","A"
"单选题","采购人收到供应商F公司对中标结果的书面质疑， 称中标供应商G的某项技术参数不满足招标文件要 求。采购人最迟应在收到质疑函后多少个工作曰肉 作出书面答复？","A. 3个工作日
B. 5个工作日
C. 7个工作日
D. 10个工作日","C"
"单选题","下列哪项采购活动，不适用《中华人民共和国政府 采购法》？","A. 某公办大学使用财政拨款采购教学仪器
B. 某公立医院使用经营收入资金采购医疗设备
C. 某公办研究所使用科研项目经费采购实验材料
D. 某国有企业使用自有资金建设厂房","D"
"单选题","政府采购信息，首先应当在哪个媒体上发布？","A. 采购人单位口户网站
B. 采购代理机构网站
C. 省级W上人民政府财政部口指定的媒体
D. 任何有影响力的公共媒体","C"
"单选题","关于联合体投标，下列符合法律法规规定的是0","A. 联合体协议中约定，投标保证金全部由牵头人提交
B. 联合体通过资格预审后，更换了资质更高的成员组成新的联合体
C. 联合体通过资格预审后，增加了一个新成员
D. 投标人分别与其他投标人组成不同的联合体参加投标","A"
"单选题","政府采购项目询价采购时，询价小组应向供应商发 出（）。","A. 订单
B. 询价通知书
C. 招标文件
D. 比选文件","B"
"单选题","政府采购活动采购文件的保存期限是（）。","A. 至少二十年
B. 至少兰十年
C. 至少十五年
D. 至少十年","C"
"单选题","根据《政府采购法》，政府采购项目询价采购时， 被询价的供应商的报价次数是（）。","A. 三次
B. —次
C. 两次
D. 由询价小组确定","B"
"单选题","政府采购招标项目，采购人或者采购代理机构可W 对己发出的招标文件、资格预审文件、投标邀请书 进行必要的澄清或者修改，但不得改变的内容是 On","A. 采购标的和资格条件
B. 获取招标文件、资格预审文件的时间期限
C. 验收标准
D. 标的交付时间","A"
"单选题","政府采购项目联合体中标的，应该由（）与采购人签 订合同。","A. 采购人指定的联合体成员
B. 联合体主办方
C. 联合体各方共同
D. 联合体成员任意一方","C"
"单选题","关于串通投标行为危害的说法，正确的是（）。","A. 串通投标行为会使本应相互竞争的投标人形成利益同盟关系，严
重削弱招标采购过程中的竞争程度
B. 串通投标行为对招标人的利益没有损害
C. 串通投标行为会降低招标采购的效率
D. 串通投标行为会破坏竞争的公平性，但有利于提升质量","A"
"单选题","蒂田市某医院采购一批预算100万元的通用医疗设 备。投标供应商A公司提供的""医疗器械经营许可 证""复印件在资格后审时被发现己过期。评审委员 会正确的处理方式是：","A. 允许A公司当场提交新的有效证件
B. 认定A公司投标无效，其投标保证金不予退还
C. 认定A公司投标无效，继续评审其他有效投标
D. 暂停评审，报告采购人及代理机构处理","C"
"单选题","某省级预算单位需采购一项仅有特定专利权人C公 司生产的专用软件，预算150万元。根据福建省规 定，公开招标数额标准为400万元。采购人拟采用 单一来源方式，其合规流程的第一步是：","A. 组织3名或以上的单数专家进行论证，出具具有唯一性的具体论证意见
B. 在""福建省政府采购网""公示5个工作日
C. 直接向同级财政部口提交申请材料
D. 与C公司进行协商，拟定合同草案","A"
"单选题","南平市某单位发现，中标供应商0在履行一项设备 安装合同时，未经同意将核也安装调试工作分包给 了另一家公司P。经查，P公司不具备相应的安装资 质。米购人首先应米取的措施是：","A. 默认许可，只要最终能通过验收即可
B. 要求0公司立即提供P公司的资质证明
C. 单方面解除合同，追究0公司违约责任
D. 书面通知0公司其行为己构成违约，要求其限期改正并承担相应责任","D"
"单选题","泉州市财政局在处理一项投诉时，认为有必要替停 采购活动。其可W书面通知采购人暂停，但暂停时 间最长不得超过：","A. 100
B. 20 0
C. 30 0
D. 60S","C"
"单选题","政府采购合同的履行、违约责任和解决争议的方法 等适用的法律是（）。","A. 《招标投标法》
B. 《建筑法》
C. 《政府投资条例》
D. 《民法典》","D"
"单选题","采用询价方式采购标准化程度高、货源充足的办公 电脑，询价小组正确的做法是？","A. 与各供应商分别进行多轮报价谈判，W获取最低价
B. 根据符合需求、质量和服务相等且报价最低的原则确定成交供应
商
C. 对报价文件进行综合评分，推荐得分最高的为成交供应商
D. 考虑供应商的品牌影响力，在同等报价下优先选择知名品牌","B"
"单选题","根据《政府采购法》，某政府采购项目，采购预算 中拟支付的采购代理服务费为200万元。下列关于 采购代理机构选择的说法，正确的是（）。","A. 必须通过比选方式选择
B. 采购人有权自行选择
C. 必须通过公开招标方式选择
D. 必须通过政府采购方式选择","B"
"单选题","政府采购活动中，供应商认为采购人或代理机构在 开标现场有违法违规的行为，其质疑必须在（）。","A. 开标现场提出
B. 开标当日提出
C. 开标环节结束当日起7个工作日内提出
D. 评标公告发布前提出","C"
