"type","question","options","answer"
"单选题","某采购人自主择优选择1家代理机构代理业务，须在系统中上传什么？","A. 单位介绍信
B. 法定代表人授权
C. 单位内控领导小组会议纪要
D. 代理机构推荐函","C"
"单选题","综合评价的核心和基础是哪一项？","A. 业绩评价
B. 诚信评价
C. 专业知识评价
D. 企业基本情况","B"
"单选题","对应行政处罚警告以下（不含）及责令整改的情形（可免于扣分或首次免于扣分的除外），诚信扣多少分？","A. 5分
B. 10分
C. 15分
D. 20分","B"
"单选题","当诚信评价扣分达到多少分时，系统对该代理机构标注为“较大失信企业”？","A. 5分
B. 10分
C. 15分
D. 20分","C"
"单选题","当诚信评价扣分达到或超过多少分时，系统对该代理机构标注为“严重失信企业”？","A. 10分
B. 15分
C. 20分
D. 30分","D"
"单选题","诚信扣分期限内再次出现诚信扣分情况，所扣分值如何计算？","A. 累计计算
B. 翻倍
C. 按原分值计算
D. 清零后重新计算","B"
"单选题","每年1月1日至12月31日期间，没有承接代理政府采购项目的，业绩评价扣多少分（当年7月1日之后备案的除外）？","A. 5分
B. 10分
C. 15分
D. 20分","B"
"单选题","业绩评价分达到多少分时，系统将自动暂停代理机构系统账号操作权限？","A. -10分
B. -20分
C. -30分
D. -40分","B"
"单选题","当代理机构业绩评价分为负数时，每承接完成1个政府采购项目加多少分，直至业绩分归（）？","A. 1分
B. 2分
C. 3分
D. 4分","B"
"单选题","《福建省政府采购代理机构执业综合评价规则（2024版）》的有效期为多久？","A. 1年
B. 2年
C. 3年
D. 4年","C"
"单选题","所有代理机构的诚信评价基础分均为多少分？","A. 40分
B. 50分
C. 60分
D. 70分","B"
"单选题","代理机构业绩评价的满分是多少分？","A. 20分
B. 25分
C. 30分
D. 35分","B"
"单选题","代理机构专业知识评价的满分是多少分？","A. 15分
B. 20分
C. 25分
D. 30分","B"
"单选题","代理机构企业基本情况的满分是多少分？","A. 5分
B. 10分
C. 15分
D. 20分","A"
"单选题","为鼓励代理机构做专做精、做大做强，设置附加分，附加分总分多少分？","A. 5分
B. 10分
C. 15分
D. 20分","B"
"单选题","项目采购人和评审专家线上评价的“基本满意”对应的分值范围是多少？","A. 60-69分
B. 70-89分
C. 80-89分
D. 90分及以上","B"
"单选题","相关人员应在项目办结后多少个工作日内完成线上评价，逾期未评价的默认为基本满意","A. 3个
B. 5个
C. 7个
D. 10个","B"
"单选题","诚信分被扣10分时，业绩分值如何处理？","A. 保留四分之一
B. 清零
C. 保留三分之一
D. 保留一半","D"
"单选题","诚信分被扣15分及以上的，业绩分值如何处理？","A. 保留四分之一
B. 清零
C. 保留三分之一
D. 保留一半","B"
"单选题","每年1月1日至12月31日期间（诚信未扣分），承接代理超过5个政府采购项目的，每多完成1个加多少分？","A. 0.1
B. 0.2
C. 0.3
D. 0.4","B"
"单选题","专业知识评价的线上测试每年多少次？","A. 1次
B. 2次
C. 3次
D. 4次","A"
"单选题","代理机构专业知识线上测试的时间为每年哪个时间段？","A. 3月1日至20日
B. 4月1日至20日
C. 5月1日至20日
D. 6月1日至20日","B"
"单选题","代理机构备案入库的专职人员不得少于多少人","A. 3人
B. 4人
C. 5人
D. 6人","C"
"单选题","准备备案入库的代理机构在完成系统注册后参加除每年4月份外每个月1号-20号进行的测试，最少5名专职人员参加，测试分数应达到多少分以上","A. 60分
B. 70分
C. 80分
D. 90分","C"
"单选题","某代理机构原综合评价总分为110分，期间诚信分被扣15分（诚信分总分为50分），那么该代理机构综合评价分数及等级分别为多少？","A. 95分 A级
B. 85分 B-级
C. 70分 B-级
D. 60分 C-级","D"
