"type","question","options","answer"
"单选题","政府采购供应商提出质疑和投诉应当坚持依法依规 、（）。","A. 诚实信用原则 B. 公平竞争原则 C. 公开透明原则 D. 公正原则","A"
"单选题","政府采购质疑答复和投诉处理应当坚持依法依规、权责对等、公平公正、( )。","A. 简便高效原则 B. 诚实信用原则 C. 公平竞争原则 D. 公开透明原则","A"
"单选题","供应商投诉按照采购人所属预算级次，由( )处理。","A. 本级财政部门 B. 本级预算部门 C. 本级纪检部门 D. 所有选项都不对","A"
"单选题","跨区域联合采购项目的投诉由谁受理（）","A. 采购人所属预算级次相同的由资金比例高的所属部门财政部门 B. 采购人所属预算级次相同的，由采购文件事先约定的财政部门负责处理
C. 由部门预算级次最高的财政部门负责处理 D. 由最先收到投诉的预算主管部门负责处理","B"
"单选题","采购代理机构应当在采购文件中载明接收质疑函的方式、（）、联系电话和通讯地址等信息。","A. 联系部门 B. 采购人联系方式 C. 采购办联系方式 D. 所有选项都不对","A"
"单选题","供应商可以委托代理人进行质疑和投诉。其授权委托书应当载明代理人的姓名或者名称、代理事项、具体权限、（）和相关事项。","A. 期限 B. 日期
C. 报名材料 D. 法人姓名","A"
"单选题","代理人提出质疑和投诉，应当提交供应商( )。","A. 签署的授权委托书 B. 公司授权书
C. 营业执照
D. 法定代表人身份证","A"
"单选题","以联合体形式参加政府采购活动的，其投诉应当由组成联合体的( )。","A. 所有供应商共同提出 B. 牵头方提出
C. 主要成员提出 D. 任意一方提出","A"
"单选题","供应商认为采购文件、采购过程、中标或者成交结果使自己的权益受到损害的，可以在知道或者应知其权益受到损害之日起（）内，以书面形式向采购人、采购代理机构提出质疑。","A. 7个工作日 B. 7日内
C. 5个工作日 D. 5日内","A"
"单选题","采购文件（）要求供应商在法定质疑期内一次性提出针对同一采购程序环节的质疑。","A. 可以 B. 应当 C. 必须 D. 适当","A"
"单选题","潜在供应商已依法获取其可质疑的采购文件的，可以对该文件提出质疑。对采购文件提出质疑的，应当在获取采购文件或者采购文件公告期限届满之日起（）内提出。","A. 7个工作日 B. 7日内
C. 5个工作日 D. 5日内","A"
"单选题","供应商提出质疑应当提交质疑函和必要的证明材料 。质疑函不包括内容：（）","A. 质疑项目的名称、编号； B. 事实依据；
C. 提出质疑的日期； D. 保证金凭证；","D"
"单选题","某项目2025年12月1日(周一）下午下班前发布的结果公告，供应商对结果提出质疑，以下哪个日期供应商提出质疑依然在受理时间内。（）","A. 2025年12月10日 B. 2025年12月16日 C. 2025年12月22日 D. 2025年12月31日","A"
"单选题","质疑答复不包括内容：（）","A. 收到质疑函的日期 B. 质疑项目名称及编号 C. 质疑答复人名称
D. 联系人","D"
"单选题","质疑供应商对采购人、采购代理机构的答复不满 意，或者采购人、采购代理机构未在规定时间内作出答复的，可以在答复期满后（）内向本办法第六条规定的财政部门提起投诉。","A. 7个工作日 B. 7日内
C. 15个工作日 D. 15日内","C"
"单选题","投诉书不包括内容：（）","A. 质疑和质疑答复情况说明及相关证明材料 B. 事实依据；
C. 提起投诉的日期； D. 报名凭证；","D"
"单选题","某项目供应商向财政部门提出投诉，以下什么原因财政部门可以不受理或者书面告知其投诉不合法： （）","A. 提起投诉前未依法进行质疑； B. 投诉书内容符合本办法的规定； C. 在投诉有效期限内提起投诉；
D. 同一投诉事项未经财政部门投诉处理；","A"
"单选题","财政部门2025年12月12日（周五）收到投诉书后，应当在（）之前进行审查；","A. 2025年12月19日 B. 2025年12月20日 C. 2025年12月21日 D. 2025年12月22日","A"
"单选题","财政部门在2025年11月3日（周一）收到项目投诉书后发现投诉书不符合法律规定应在（）之前书面告知投诉人不予受理，并说明理由。","A. 2025年11月6日 B. 2025年11月7日 C. 2025年11月8日 D. 2025年11月9日","A"
"单选题","投诉不属于本部门管辖的，应当在（）内书面告知投诉人向有管辖权的部门提起投诉。","A. 3个工作日 B. 3日内
C. 5个工作日 D. 5日内","A"
"单选题","被投诉人和其他与投诉事项有关的当事人应当在收到投诉答复通知书及投诉书副本之日起（）内，以书面形式向财政部门作出说明，并提交相关证据、依据和其他有关材料。","A. 3个工作日 B. 3日内
C. 5个工作日 D. 5日内","C"
"单选题","财政部门应当自收到投诉之日起（）内，对投诉事项作出处理决定。","A. 30个工作日 B. 30日内
C. 15个工作日 D. 15日内","A"
"单选题","投诉处理过程中，有下列情形之一的，财政部门应当驳回投诉（）","A. 受理后发现投诉不符合法定受理条件； B. 投诉人提供真实材料；
C. 投诉事项事实依据完整，投诉事项成立； D. 投诉人以合法取得的证明材料。","A"
"单选题","经认定成立的投诉事项不影响采购结果的，（）采购活动；","A. 继续开展 B. 暂停
C. 终止
D. 所有选项都不对","A"
"单选题","采购人认为供应商质疑不成立，或者成立但未对中标结果构成影响的，（ ）。","A. 作出答复前暂停采购活动 B. 对质疑不予答复
C. 继续开展采购活动 D. 视具体情况处理","C"
"单选题","质疑答复不包括（ ）。","A. 质疑供应商的姓名或者名称 B. 提出质疑的日期
C. 质疑答复的事实依据和法律依据 D. 告知质疑供应商依法投诉的权利","B"
"单选题","供应商认为自己的权益受到损害的，可以在（ ）之日起7个工作日内，以书面形式向采购人、采购代理机构提出质疑。","A. 知道损害事实发生
B. 知道或者应知其权益受到损害 C. 知道损害结果发生
D. 确认权益受到损害","B"
"单选题","A供应商与B供应商以联合体形式参加政府采购活动的，A是牵头方，其投诉应当（ ）","A. 由A和B共同提出 B. 由A提出
C. 由B提出
D. 经组成联合体的所有供应商授权，由被授权供应商单独提出","A"
"单选题","应当由投诉人承担举证责任的投诉事项，投诉人未提供相关证据、依据和其他有关材料的，（ ）。","A. 应当不予受理
B. 视为无效投诉事项 C. 视为自动撤回投诉 D. 视为投诉事项不成立","D"
"单选题","财政部门受理投诉后，投诉人书面申请撤回投诉 的，财政部门应当（ ），并书面告知相关当事人。","A. 中止投诉处理程序
B. 按照监督检查程序继续处理 C. 终止投诉处理程序
D. 视具体情况处理","C"
"单选题","财政部门在处理某项投诉。期间须对投标设备的性能进行鉴定，由（ ）先行垫付费用。","A. 第三方检测机构 B. 财政部门
C. 提出申请的供应商 D. 被投诉人","C"
"单选题","投诉处理决定明确双方责任后，因处理投诉发生的第三方检验、检测、鉴定等费用按照（ ）原则由承担责任的一方负担；双方都有责任的，由双方合理分担。","A. 谁主张谁负担 B. 谁过错谁负担 C. 无过错责任 D. 公平责任","B"
"单选题","采购人和采购代理机构收到暂停采购活动通知后，应当（ ）。","A. 立即中止采购活动 B. 立即终止采购活动 C. 重新开展采购活动 D. 继续开展采购活动","A"
"单选题","（ ）不属于政府采购质疑答复和投诉处理应当坚持的原则。","A. 依法依规 B. 平等自愿 C. 权责对等 D. 简便高效","B"
"单选题","（ ）不属于虚假、恶意投诉的情形。","A. 捏造事实
B. 提供虚假材料
C. 证据来源合法性存在疑问，但投诉人能证明其取得方式合法的 D. 以非法手段取得证明材料","C"
"单选题","投诉人在全国范围（）内（）以上投诉查无实据的，由财政部门列入不良行为记录名单。","A. 12个月，五次 B. 12个月，四次 C. 12个月，三次 D. 12个月，二次","C"
"多选题","财政部门作出处理决定，应当制作投诉处理决定 书，并加盖公章。投诉处理决定书包括下列内容： （）","A. 投诉人和被投诉人的姓名或者名称、通讯地址等；
B. 处理决定查明的事实和相关依据，具体处理决定和法律依据； C. 作出处理决定的日期。
D. 调查取证的通知","ABC"
"多选题","财政部门及其工作人员在履行投诉处理职责中违反本办法规定及存在其他滥用职权、玩忽职守、徇私舞弊等违法违纪行为的，依照（ ）等国家有关规定追究相应责任；涉嫌犯罪的，依法移送司法机关处理。","A. 《中华人民共和国政府采购法》 B. 《中华人民共和国公务员法》 C. 《中华人民共和国行政监察法》
D. 《中华人民共和国政府采购法实施条例》","ABCD"
"多选题","财政部门收到一份含有外文的证明材料作为投诉证明，不需要附以下（）材料。","A. 中文译本，由翻译机构盖章或者翻译人员签名。 B. 外国机构营业执照
C. 入关证明
D. 委托翻译的凭证","BCD"
"多选题","相关当事人提供的在（）地区内形成的证据，应当履行相关的证明手续。","A. 香港特别行政区 B. 澳门特别行政区 C. 台湾地区
D. 海南","ABC"
"多选题","对在质疑答复和投诉处理过程中知悉的（），财政部门、采购人、采购代理机构等相关知情人应当保密。","A. 国家秘密 B. 商业秘密 C. 个人隐私
D. 依法不予公开的信息","ABCD"
"多选题","政府采购质疑答复和投诉处理应当坚持（）原则。","A. 依法依规 B. 权责对等 C. 公平公正 D. 简便高效","ABCD"
"多选题","采购人、采购代理机构应当在采购文件中载明（）等信息。","A. 接收质疑函的方式 B. 联系部门
C. 联系电话 D. 通讯地址","ABCD"
"多选题","质疑函中应当载明供应商下列哪些内容：（）","A. 姓名或者名称 B. 地址
C. 邮编
D. 联系人及联系电话","ABCD"
"多选题","供应商对评审过程、中标或者成交结果提出质疑 的，采购人、采购代理机构可以组织（）协助答复质疑。","A. 原评标委员会 B. 竞争性谈判小组 C. 询价小组
D. 竞争性磋商小组","ABCD"
"多选题","财政部门可以根据法律、法规规定或者职责权限，委托相关单位或者第三方开展（）。","A. 调查取证 B. 检验
C. 检测 D. 鉴定","ABCD"
"多选题","财政部门处理投诉事项，需要检验、（），所需时间不计算在投诉处理期限内。","A. 检测 B. 鉴定
C. 专家评审
D. 需要投诉人补正材料","ABCD"
"多选题","供应商认为( )使自己的权益受到损害的，可以在知道或者应知其权益受到损害之日起7个工作日内，以书面形式向采购人、采购代理机构提出质疑。","A. 采购文件 B. 采购过程 C. 中标结果 D. 成交结果","ABCD"
"多选题","质疑函应当包括的内容（ ）","A. 具体、明确的质疑事项和与质疑事项相关的请求； B. 事实依据；
C. 必要的法律依据； D. 提出质疑的日期。","ABCD"
"多选题","质疑答复应当包括内容（ ）","A. 质疑供应商的姓名或者名称； B. 质疑答复人名称；
C. 答复质疑的日期；
D. 收到质疑函的日期、质疑项目名称及编号；","ABCD"
"多选题","投诉书应当包括内容（ ）","A. 事实依据； B. 法律依据；
C. 提起投诉的日期； D. 报名材料","ABC"
"多选题","以下属于投诉人提起投诉条件：（ ）","A. 提起投诉前已依法进行质疑； B. 投诉书内容符合本办法的规定； C. 在投诉有效期限内提起投诉；
D. 同一投诉事项未经财政部门投诉处理；","ABCD"
"多选题","制定《政府采购质疑和投诉办法》（财政部令第94号）的法律依据包括（ ）。","A. 《中华人民共和国招标投标法》 B. 《中华人民共和国政府采购法》
C. 《中华人民共和国政府采购法实施条例》 D. 其他有关法律法规规定","BCD"
"多选题","政府采购供应商提出质疑和投诉应当坚持（ ）原则 。","A. 公序良俗 B. 依法依规 C. 诚实信用 D. 平等自愿","BC"
"多选题","下列有关提出质疑和答复质疑的行为中，正确的是 （ ）。","A. 潜在供应商己依法获取其可质疑的采购文件的，在获取采购文件后第7个工作日内提出
B. 供应商应当委托代理人进行质疑和投诉，代理人可以提交供应商签署的授权委托书
C. 采购人不得拒收质疑供应商在法定质疑期内发出的质疑函
D. 质疑答复导致中标结果改变的，应当将有关情况书面报告本级财政部门","ACD"
"多选题","下列有关提起投诉和处理投诉的行为中，正确的是 （ ）。","A. 财政部门向第三方开展检验的，所需时间不计算在投诉处理期限内
B. 财政部门视具体情况可以暂停采购活动，但时间最长不得超过 30个工作日
C. 预算主管部门负责依法处理本级项目供应商投诉
D. 供应商投诉的事项不得超出已质疑事项的范围，但基于质疑答复内容提出的投诉事项除外","AD"
"多选题","投诉人对采购文件提起的投诉事项，财政部门认定成立的投诉事项影响或者可能影响采购结果的，按照下列情况处理（ ）。","A. 未确定中标或者成交供应商的，责令重新开展采购活动
B. 已确定中标或者成交供应商但尚未签订政府采购合同的，认定中标或者成交结果无效，责令重新开展采购活动
C. 政府采购合同已经签订但尚未履行的，撤销合同，责令重新开展采购活动
D. 政府采购合同已经履行，给他人造成损失的，相关当事人可依法提起诉讼，由责任人承担赔偿责任","ABCD"
"多选题","质疑函应当包括（ ）等内容。","A. 质疑答复人名称 B. 质疑项目的编号
C. 与质疑事项相关的请求 D. 答复质疑的日期","BC"
"多选题","投诉书应当包括（ ）等内容。","A. 质疑和质疑答复情况说明及相关证明材料 B. 具体、明确的投诉事项
C. 与投诉事项相关的投诉请求 D. 事实依据及法律依据","ABCD"
"多选题","投诉人提起投诉应当符合（ ）条件。","A. 提起投诉前已依法进行质疑
B. 投诉书内容符合《政府采购质疑和投诉办法》的规定 C. 在投诉有效期限内提起投诉
D. 同一投诉事项已经在财政部门投诉处理","ABC"
"多选题","财政部门处理投诉事项，所需时间不计算在投诉处理期限内的情形有（ ）。","A. 检验、检测、鉴定 B. 专家评审
C. 投诉人补正材料
D. 核实当事人身份信息","ABC"
"多选题","财政部门驳回投诉的情形有（ ）。","A. 受理后发现投诉不符合法定受理条件
B. 投诉事项缺乏事实依据，投诉事项不成立 C. 投诉人捏造事实或者提供虚假材料
D. 投诉人以非法手段取得证明材料","ABCD"
