"type","question","options","answer"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家实行的管理原则不包括以下哪项（ ）","A. 统一标准 B. 管用分离 C. 随机抽取 D. 固定指派","D"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），财政部负责建设管理的是哪一级评审专家库（ ）","A. 省级 B. 市级 C. 国家 D. 县级","C"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家选聘的方式不包括以下哪种（ ）","A. 公开征集 B. 单位推荐 C. 自我推荐 D. 内部指定","D"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家下列情形不属于不良行为记录（）","A. 未按照采购文件规定的评审程序、评审方法和评审标准进行独立评审
B. 泄露评审文件、评审情况
C. 收受采购人、采购代理机构、供应商贿赂或者获取其他不正当利益
D. 履行配合答复供应商询问、质疑、投诉","D"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），某政府采购询价采购中，其中询价小组由随机抽取的专家甲 、乙、采购人代表丙组成，采购人委派现场监督代表丁，采购人需求部门代表戊 （到场未进入评审现场），下列哪些人员可以获取评审劳务报酬（）","A. 甲 B. 丙 C. 丁 D. 戊","A"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家申请成为评审专家时，需提供的材料不包括以下哪项（ ）","A. 个人简历、申请书和承诺书 B. 学历学位证书
C. 家庭财产证明
D. 身份证明有效证件","C"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），除采用竞争性谈判 、竞争性磋商方式采购，以及异地评审的项目外，采购人或者采购代理机构抽取评审专家的开始时间原则上不得早于评审活动开始前多少个工作日（）","A. 2 个 B. 3 个 C. 5 个 D. 7 个","A"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家名单应在何时公开（ ）","A. 评审活动开始前 B. 评审活动进行中 C. 评审结果公告时 D. 任意时间","C"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），集中采购目录内的项目，评审专家劳务报酬由谁支付（ ）","A. 采购人
B. 采购代理机构 C. 集中采购机构 D. 财政部门","C"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），财政部门工作人员在评审专家管理工作中滥用职权的，应依据以下哪部法律追究责任（ ）","A. 《政府采购法》 B. 《民法典》
C. 《公司法》
D. 《环境保护法》","A"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），申请人赵某申请成为评审专家，其申报的评审专业依据（ ）确定符合文件规定。","A. 采购人指定的专业 B. 本人职称对应专业 C. 财政部门推荐的专业 D. 热门专业","B"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），技术复杂、专业性强的采购项目，难以通过随机方式确定评审专家的，经主管预算单位同意后，采购人选定评审专家的优先原则是（ ）","A. 优先选择本单位内部专家 B. 优先选择本单位以外专家 C. 优先选择本地专家
D. 优先选择外地专家","B"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家与供应商的法定代表人存在三代以内旁系血亲关 系，其正确做法是（ ）","A. 无需回避，正常参与评审 B. 主动提出回避
C. 仅需告知采购人即可 D. 隐瞒关系继续评审","B"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家对评审报告有异议但未签署不同意见和理由，视为 （ ）","A. 反对评审报告 B. 同意评审报告 C. 保留意见
D. 无效评审","B"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），省级人民政府财政部门制定本地区评审专家劳务报酬标准，中央预算单位应如何执行（ ）","A. 执行中央统一标准
B. 参照所在地或评审活动所在地标准 C. 自行制定标准
D. 无需支付劳务报酬","B"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家未完成评审工作擅自离开评审现场，其劳务报酬的处理方式是（ ）","A. 全额支付 B. 支付50% C. 不予支付 D. 支付80%","C"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家张某的工作单位发生变更，其应履行的义务是（ ）","A. 在变更后15个工作日内向市级财政部门申请变更信息
B. 在下次参与评审时告知采购人变更情况 C. 及时向相关省级以上人民政府财政部门申请变更信息
D. 重新提交完整申请材料重新选聘入库","C"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），某评审项目中，2名专家因回避导致评审现场专家数量不足，采购人的正确处理方式是（ ）","A. 由剩余专家继续评审
B. 及时补抽评审专家或依规定自行选定补足 C. 终止项目采购
D. 延期10个工作日再评审","B"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），关于评审专家名单 保密与公告的要求，下列说法正确的是（ ）","A. 评审结果公示后10个工作日内公告评审专家名单
B. 自行选定的评审专家名单无需公告
C. 评审结果公告前需对所有评审专家名单保密
D. 审计部门工作人员可查询未公告的评审专家名单","C"
"单选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家参加异地评审，其城市间交通费可参照的报销依据是（ ）","A. 评审专家自行选定的交通方式对应的费用标准
B. 参照采购人执行的差旅费管理办法相应标准
C. 按省级财政部门制定的固定标准报销 D. 实报实销","B"
"多选题","根据《政府采购评审专家管理办法》（财库〔2016〕198号），评审专家管理原则包括以下哪几项（）","A. 随机抽取 B. 管用分离 C. 统一标准 D. 异地抽取","ABC"
