"type","question","options","answer"
"单选题","在某市""智慧交通平台""公开招标项目的评审中，评 标委员会就A供应商所投核也设备的一项技术参数是 否满足采购文件要求产生重大分歧，持两种不同意 见，且争论不休。此时，评标委员会应当采取的唯一 合规做法是（）","A. 由采购人决定
B. 由评标委员会组长决定
C. 按照少数服从多数的原则投票
D. 由现场监督人员决定","C"
"单选题","F省某单位采购项目的评审阶段，采购人代表张某在 专家名单生成后，擅自将密封的评审委员会名单拍照 通过微信发送给未参与本次采购的同事王某查阅。该 项目采购代理机构项目负责人李某察觉此事后未予制 止，该情形中应对泄露评审委员会名单承担直接保密 责任的主体是（）","A. 财政部门
B. 所有供应商
C. 采购人和采购代理机构
D. 评审委员会成员之间","C"
"单选题","某政府采购项目的评审会议开始前，评审专家王某携 带手机进入评审区。采购代理机构现场工作人员发现 后，依据评审纪律要求其上交手机统一保管。王某表 示手机需处理私人紧急事务，拒绝上交。遇到上述情 况，采购人或采购代理机构可以怎么做？（）","A. 记录其拒交手机全过程，让王某签署""自愿自担后果""声明后允许具继续评审
B. 采购人i采购代理机构可以拒绝其参加评审工作并向财政部口报告
C. 由现场监督人员对王某进行口头警告，并在评审室内増设手机信号
屏蔽器后允许其继续评审
D. 为不影响项目进度，同意王某将手机调为静音后继续评审，并加强场内巡查","B"
"单选题","某政府采购项目评审过程中，评审委员会发现采购文 件存在以下情形，请问哪些情况下评审委员会应当停 止评审工作？","A. 采购文件对某技术参数的表述存在两种合理解释，评审委员会经讨
论己达成一致理解，评审工作可以正常进行
B. 采购文件将特定行业的业绩作为资格条件，涉嫌违反《政府采购法
》关于公平竞争的规定，但不影响评审打分操作
C. 采购文件评分标准中分值设置出现笔误，某项分值总和为99分而非
100分，经核算可修正后继续评审
D. 采购文件要求供应商提供己废止的行政许可证明，导致满足资格要
求的供应商数量可能为零，无法开展实质性评审","D"
"单选题","在某省政府采购中必组织的""医疗设备采购项目""评 审后，供应商质疑评审专家存在倾向性行为。财政部 门调查时，发现该中也因未保存评审过程的录音录像 资料，导致关键证据缺失。此情形直接违反了针对该 类采购机构的哪项特定管理规定？（）","A. 由采购人决定是否录像
B. 对评审工作现场进行全过程录音录像
C. 允许采购人代表录像监督
D. 根据需要决定是否录像","B"
"单选题","依据《财政部关于进一步规范政府采购评审工作有关 问题的通知》（财库〔2012) 69号）中""严肃政府采 购评审工作纪律""的规定，评审结果汇总完成后，采 购人、采购代理机构和评审委员会均不得修改评审结 果或者要求重新评审，下列哪种情形除外（）","A. 采购人认为评审结果不符合采购预期，提出合理调整建议的
B. 资格性检查认定错误、分值汇怠计算错误的
C. 采购代理机构发现评审流程存在细微瑕疵，但不影响评审结果的
D. 评审委员会部分成员认为某供应商评分偏低，提出重新打分的","B"
"单选题","在A省某政府采购项目，评审委员会正在按照规定推 选组长，以下不得担任组长的是（）","A. 采购人代表
B. 技术专家
C. 经济专家
D. 法律专家","A"
"单选题","某政府采购项目，为保证评审公平公正，采购人决定 委派纪检监察等相关人员进入评审现场进行监督。那 么，采购人委派的此类人员最多不得超过（）人。","A. 1
B. 2
C. 3
D. 4","B"
"单选题","财库(2012)閒号要求，采购机构须对评审现场进行 ()","A. 全过程录音录像
B. 关键环节拍照
C. 仅录音不录像
D. 由采购人自行决定是否录像","A"
"单选题","评审委员会成员要对所有投标或响应文件（）进行资 格性和符合性检查。","A. 逐一
B. 独立
C. 同时
D. 重点","A"
"单选题","评审专家拒不上交通讯工具的，采购人或代理机构可 以 ( )。","A. 拒绝其参加评审并向财政部n报告
B. 允许其自行保管并继续评审
C. 允许其继续评审但给予口头警告
D. 当场罚款","A"
"单选题","评审委员会如需要供应商对投标或响应文件有关事项 作出澄清的，下列哪项做法是错误的？（）","A. 给予供应商必要的反馈时间
B. 澄清事项不得超出投标或响应文件的范围
C. 不得通过澄清对供应商实行差别对待
D. 可以要求供应商对投标文件进行实质性内容的修改","D"
