"type","question","options","answer"
"单选题","根据《政府采购信息发布管理办法》，政府采购信息发布应当遵循的原则不包括以下哪一项？","A. 格式规范统一
B. 渠道相对集中
C. 便于查找获得
D. 内容详尽全面","D"
"单选题","本办法所称政府采购信息不包括以下哪类","A. 公开招标公告
B. 资格预审公告
C. 供应商公司章程
D. 中标（成交）结果公告","C"
"单选题","下列哪项不属于本办法所称的政府采购监 管信息？","A. 政府采购合同公告
B. 投诉处理结果
C. 监督检查处理结果
D. 集中采购机构考核结果","A"
"单选题","负责指导和协调全国政府采购信息发布工 作的部口是？","A. 国家发展和改革委员会
B. 审计署
C. 财政部
D. 国务院办公厅","C"
"单选题","地方预算单位政府采购信息应当在哪个网 站发布？","A. 中国政府采购网
B. 所在行政区域的中国政府采购网省级分网
C. 市级W上财政部口指定的任何媒体
D. 国家级新闻媒体","B"
"单选题","谁应当对提供的政府采购信息的真实性、 准确性、合法性负责？","A. 指定媒体
B. 社会公众
C. 发布主体
D. 审计部口","C"
"单选题","指定媒体应当对政府采购信息发布的什么 方面负责？","A. 真实性、准确性
B. 及时性、完整性
C. 合法性、合规性
D. 详尽性、全面性","B"
"单选题","在不同媒体发布的同一政府采购信息内容 不一致时，应W哪个为准？","A. 最先发布的信息
B. 在指定报纸上发布的信息
C. 在中国政府采购网或其省级分网发布的信息
D. 由采购人确认的信息","C"
"单选题","指定媒体应当自收到政府采购信息起几个 工作日内发布？","A. 1个工作日
B. 3个工作日
C. 5个工作日
D. 7个工作日","A"
"单选题","指定媒体向信息发布主体提供信息发布服 务时，应如何收费？","A. 按成本收费
B. 免费
C.按市场价格收费
D. 由双方协商确定","B"
"单选题","下列哪一情形违反了《政府采购信息发布 管理办法》关于信息发布一致性的要求？","A. 发布主体在省级分网和指定报纸上发布的公告内容完全相同。
B. 发布主体在省级分网发布的公告比在指定报纸上多一个附件说明。
C. 发布主体因校对错误，在指定报纸上发布的预算金额比在省级分网
发布的少了一个零，但次日进行了更正。
D. 发布主体在中国政府采购网和其省级分网发布的公告，除发布曰期
外，其他内容一致。","B"
"单选题","发布主体发布政府采购信息不得有W下哪 种行为","A. 及时发布
B. 虚假和误导性陈述
C. 格式规范
D. 内容一致","B"
"单选题","指定媒体应当加强安全防护，确保发布的 政府采购信息（）","A. 不被篡改
B. 可以遗漏
C. 可以删除
D. 可以修改信息肉容","A"
"单选题","关于涉密政府采购项目的信息发布，根据 《政府采购信息发布管理办法》的规定， 以下选项中，最符合该办法的做法是：","A. 一律不得发布
B. 直接正常公开发布
C. 依照国家有关规定执行
D. 在肉部系统发布","C"
"单选题","采购人委托采购代理机构发布政府采购信 息，若信息存在虚假陈述，责任应由谁承担？","A. 仅采购人
B. 仅采购代理机构
C. 采购人和采购代理机构共同
D. 指定媒体","C"
"单选题","中央预算单位的政府采购信息发布活动由 谁监督管理？","A. 国务院办公厅
B. 财政部
C. 国家监察委员会
D. 审计署","B"
"单选题","指定媒体擅自删除政府采购信息内容，违 反了《政府采购信息发布管理办法》的哪 项规定？","A. 信息发布及时性要求
B. 信息发布完整性要求
C. 安全防护要求
D. 免费服务要求","C"
"单选题","省级财政部口在对一家指定媒体进行检查 时发现，该媒体对收到的部分政府采购信 息延迟了2个工作日发布。根据本办法， 省级财政部门应首先采取什么措施？","A. 直接取消其指定媒体资格
B. 依法责令限期改正
C. 对直接负责的主管人员给予罚款
D. 不进行处罚","B"
"单选题","某采购代理机构在不同媒体发布同一政府 采购信息，内容不一致，且省级分网发布 的信息与中国政府采购网发布的信息冲 突，应以哪份信息为准？","A. 省级分网发布的信息
B. 中国政府采购网发布的信息
C. 发布时间较早的信息
D. 由财政部门指定","B"
"单选题","采购人A委托代理机构B发布一项公开招标公告。B机构工作人员在将公告上传至中国政府采购网时，误将招标文件获取的截止日期写错，导致潜在投标人可获取文件的时间缩短了3天。公告发布后，供应商C提出异议。根据本办法，关于责任承担的说法正确的是？","A. 代理机构B作为发布主体，应对信息的准确性负责，承担主要责任
B. 中国政府采购网作为指定媒体，应对信息的准确性进行核验，承担主要责任
C. 指定媒体没有主动预警，承担主要责任。
D. 供应商C应自行关注信息，承担未及时获取文件的责任","A"
"多选题","对政府采购信息发布活动进行监督管理的 主体有？","A. 财政部
B. 地方各级人民政府财政部门
C. 米购人
D. 采购代理机构
E. 监察部门","AB"
"多选题","下列哪些属于《政府采购信息发布管理办 法》所称的政府采购信息？","A. 公开招标公告
B. 中fe结果公告
C. 政府采购合同公告
D. 资格预审公告
E. 单一来源采购公示","ABCDE"
"多选题","下列哪些主体是本办法规定的政府采购信 息发布主体？","A. 财政部n
B. 米购人
C. 采购代理机构
D. 社会公众
E. 供应商","ABC"
"多选题","财政部门、采购人和其委托的采购代理机构下统称发布主体）应当对其提供的政府采购信息的（）负责","A.真实性 B.准确性 C.合理性 D.合法性 E.及时性","ABD"
"多选题","中国政府采购网及其省级分网和省级W上 财政部n指定的其他媒体下统称指定 媒体）应当对其收到的政府采购信息发布 的（）负责。","A. 真实性
B. 及时性
C. 完整性
D. 合法性
E. 准确性","BC"
"多选题","发布主体发布政府采购信息时，必须遵守 的规定包括哪些？","A. 不得有虚假陈述
B. 不得有误导性陈述
C. 不得遗漏依法必须公开的事项
D. 可W在不同媒体发布略有差异的版本W测试效果
E. 出于省略篇幅的考虑，可W减少依法必须公开的事项","ABC"
"多选题","以下属于政府采购监管信息的有（）","A. 投诉处理结果
B. 监督检查处理结果
C. 集中采购机构考核结果
D. 政府采购合同公告
E. 单一来源采购公示","ABC"
"多选题","政府采购信息可以发布的渠道包括？","A. 中国政府采购网
B. 中国政府采购网省级分网
C. 省级W上财政部n指定的其他媒体
D. 市级财政部口指定的媒体
E. 招标协会指定网站","ABC"
"多选题","财政部门指定发布媒体不得实施的行为 有？","A. 免费提供信息发布服务
B. 篡改政府采购信息
C. 遗漏政府采购信息
D. 擅自删除政府采购信息
E. 区分付费会员类型提供不同信息服务","BCDE"
"多选题","财政部门指定发布媒体应当履行的义务 有？","A. 核验发布主体身份
B. 及时发布收到的政府采购信息
C. 加强安全防护
D. 向发布主体免费提供信息发布服务
E. 审查发布信息的准确性","ABCD"
