"type","question","options","answer"
"单选","采购人拟采购进口产品，在进口产品审批立项环节，以下内控要求中必须执行的是（ ）","A. 无需选择对应采购项目，直接填写进口产品审批信息即可提交
B. 需新增进口产品采购论证专家信息，补充完整专家姓名、职称、工作单位等信息
C. 申请理由仅需选择“中国境内无法获取”，无需填写具体说明
D. 审批信息填写完成后无需上传任何附件，直接提交审核即可","B"
"单选","福建省省级预算单位C在部门预算批复前公开采购意向和部门预算批复后公开采购意向，以下说法正确的是？","A. 部门预算批复前公开的采购意向，以部门预算为依据
B. 部门预算批复后公开的采购意向，以部门预算 “二上”内容为依据
C. 原则上不得晚于采购活动开始前30日公开采购意向；若属于预算执行中新增采购项目，无需公开采购意向
D. 因预算单位不可预见的原因急需开展的采购项目，可不公开采购意向","D"
"单选","采购人委托采购代理机构编制采购需求 时，根据相关内控要求，需在哪个环节对采购需求进行书面确认？（ ）","A. 采购需求论证完成后
B. 采购文件编制完成后
C. 采购活动开始前
D. 项目立项审核通过后","C"
"单选","下列哪项不属于福建省政府采购意向公开必须包含的主要内容？","A. 采购项目名称
B. 采购需求概况
C. 预算金额
D. 拟定的唯一供应商名称","D"
"单选","采购人政府采购内部控制的核心目标是什么？","A. 尽可能提高采购效率
B. 确保采购价格最低
C. 规范采购行为、防范化解风险、提升采购效能
D. 简化采购审批流程","C"
"单选","采购人自主择优选择1家代理机构代理采购业务时，根据内控及相关规定，需完成的关键操作是（ ）","A. 直接与选择的代理机构签订委托协议，无需在系统中留存相关材料
B. 需在系统中上传单位内控领导小组会议纪要
C. 需经财政部门审批同意后，方可确定代理机构
D. 无需履行内控决策流程，由采购经办岗直接确定代理机构","B"
"单选","福建省省级预算单位C计划开展物业管理服务采购项目，该项目属于政府集中采购目录内且预算金额超过采购限额标准，关于公开采购意向渠道说法不正确的是？","A. 应在福建省政府采购网公开采购意向
B. 应在单位C门户网站同步公开
C. 福建省政府采购网和单位C门户网站公开渠道发布同一政府采购意向的，公开时间和内容应保持一致
D. 公开时间和内容不一致的，以福建省政府采购网公开的时间和内容为准。","B"
"单选","采购人通过自行采购平台实施采购项目 时，以下关于内控及监管责任的表述正确的是（ ）","A. 该类项目属于政府采购监管范围，质疑投诉由政府采购监管部门受理
B. 采购过程中的质疑、投诉等情形，按采购单位内控管理规定执行，政府采购监管部门不予受理
C. 无需遵守本单位内控管理规定，仅需符合自行采购平台操作要求即可
D. 项目实施前需向财政部门报备内控管理方案","B"
"单选","某市级单位在年初部门预算中，为“业务信息系统升级”项目批复了200万元，并已按规定公开采购意向，预计9月采购。6月，上级部门突然下发强制性的全国统一业务系统，要求年底前必须完成切换。原升级计划被取消。对于这笔已公开意向的 200万元预算，单位最合规的调整处理流程是？","A. 直接调剂使用。将资金立即用于采购上级要求的统一系统，因事出紧急且为上级指令，可特事特办。
B. 履行预算调整程序。按程序报请财政部门调整预算用途，在获批准后，撤下原采购意向，并就新项目（统一系统）重新公开采购意向。
C. 履行预算调整程序。在获财政部门批准后，发布原采购意向的终止公告，说明原因。新项目是否需公开意向，视其是否达到公开标准而定。
D. 暂不处理。待统一系统采购完成后，在年终决算时一并说明情况即可","C"
"单选","采购人在采购项目立项时，若判断项目预算累计金额已达到本年度分散采购限额标准，以下内控要求中需严格执行的是（ ）","A. 在“项目安排”中“是否政府采购”选择“否”，并说明原因
B. 无需填写累计达到限额标准相关说明，直接上传批复表即可
C. 在“项目安排”中“是否政府采购”选择“是”，同时填写累计达到限额标准相关说明并上传对应材料
D. 直接将项目转为集中采购，无需在系统中完成立项流程","C"
"多选","在政府采购活动中，下列哪些岗位属于原则上应当分离的不相容岗位？","A. 采购需求制定与审核
B. 采购文件编制与复核
C. 合同签订与验收
D. 项目付款申请与审批","ABCD"
"多选","通过自行采购平台完成的采购项目，采购人必须归档保存的电子及书面材料至少应包括？","A. 经审定的采购需求
B. 平台生成的成交（中标）通知书
C. 签订的政府采购合同
D. 验收证明
E. 供应商的报价响应文件","ABCDE"
"多选","推行政府采购意向公开的主要目的包括？","A. 提高政府采购透明度
B. 便于供应商提前做好投标准备
C. 保障各类市场主体平等参与政府采购活动
D. 优化政府采购营商环境
E. 取代正式的采购公告","ABCD"
"多选","采购人在配合完成对代理机构的执业评价工作中，负有哪些责任？","A. 如实、客观地反馈代理机构的执业情况
B. 根据个人好恶随意打分
C. 按要求在评价系统中填报相关信息
D. 对评价工作中知悉的代理机构商业秘密予以保密
E. 将评价结果作为支付代理费的条件","ACD"
"多选","某采购人单位计划通过内部评议方式选择一项重大工程的采购代理机构。为体现公正、择优原则，其内控流程应包括哪些关键环节？","A. 发布内部遴选公告，明确项目概况和选择标准
B. 由单位领导直接指定一家熟悉的代理机构
C. 评议小组根据既定标准对报名机构进行评审打分
D. 将评审结果报单位领导集体决策或按权限审批","ACD"
"多选","福建省对采购代理机构的执业评价，通常涵盖以下哪些方面？","A. 执业规范性与合规性
B. 专业能力与服务质量
C. 收费合理性
D. 业务量大小
E. 采购人满意度反馈","ABCE"
