"type","question","options","answer"
"单选题","某省级高校采购一台500万元的设备，有本国产品与非本国产品参与竞争，根据《国务院办公厅关于在政府采购中实施本国产品标准及相关政策的通知》，对本国产品的报价给予价格扣除的比例为（ ）","A. 10%
B. 15%
C. 20%
D. 25%","C"
"单选题","福建某高校采购一批仪器仪表，涉及到多种产品，当供应商提供的符合本国产品标准的产品成本之和占全部产品成本之和达到（ ）以上时，可对该供应商全部产品的总报价给予20%的价格扣除。","A. 50%
B. 60%
C. 70%
D. 80%","D"
"单选题","在政府采购活动中，供应商提供了符合要求的《关于符合本国产品标准的声明函》或财政部会同有关部门规定的有关证明文件后，采购人、采购代理机构（ ）","A. 不得再要求供应商提供其他证明材料
B. 仍可要求供应商提供其他证明材料
C. 可视情况决定是否要求提供其他证明材料
D. 必须再要求供应商提供一份备用证明材料","A"
"单选题","某科研所采购一批仪器，若供应商提供的产品要被认定为“本国产品”，供应商须出具（ ）","A. 产品质检报告
B. 《关于符合本国产品标准的声明函》或财政部会同有关部门规定的有关证明文件
C. 产品生产厂家的授权书
D. 产品销售业绩证明","B"
"单选题","A市级高校采购货物项目中，甲公司按照要求提供了符合规定的《关于符合本国产品标准的声明函》后，对于该产品在本国产品认定上的效力是（ ）","A. 还需进一步接受其他复杂审核才能认定为本国产品
B. 评审委员会可在评审环节要求供应商对该产品进行额外的产地说明
C. 该产品直接视为本国产品，采购人、采购代理机构不得再要求其他证明材料
D. 需等待一段时间后才能正式认定为本国产品","C"
"单选题","在政府采购投诉处理、监督检查中，对产品在中国境内生产的组件成本占比、采购项目或采购包中本国产品成本占比是否达到规定比例存在争议时，财政部门认定的依据是（ ）","A. 供应商自行估算的数据
B. 采购人员的经验判断
C. 中国境内生产的组件成本核算相关规则及供应商及制造商提供的组件或产品的会计核算数据、采购合同、进货记录等
D. 市场同类产品的平均成本数据","C"
"单选题","某制造企业计划采购一套大型生产设备，该设备由多个组件构成，部分组件在中国境内生产，部分在境外生产。在核算这套设备中在中国境内生产的组件成本时，按照相关规定，一般优先按照什么组件的相关成本进行核算( )","A. 一级组件
B. 二级组件
C. 三级组件
D. 无法确定，视情况而定","B"
"单选题","某市教育局计划采购一批教学仪器，本土国企A、外资企业B、本土民营中小微企业C都递交了投标文件。依据《国务院办公厅关于在政府采购中实施本国产品标准及相关政策的通知》，有本国产品采购支持政策。此政策适用于此次投标中的哪些企业？（ ）","A. 仅国有企业和民营企业
B. 仅民营企业和外资企业
C. 国有企业、民营企业、外资企业等各类经营主体
D. 仅注册资本超过1000万的企业","C"
"单选题","在政府采购活动中，涉及本国产品标准的争议事项，主要由哪个部门进行处理？（）","A. 工商行政管理部门
B. 财政部门
C. 工业和信息化部门
D. 市场监督管理部门","B"
"单选题","根据《国务院办公厅关于在政府采购中实施本国产品标准及相关政策的通知》，在出台具体产品的相关要求时，为确立本国产品标准体系设置的过渡期为（ ）","A. 1-2年
B. 2-3年
C. 3-5年
D. 5-7年","C"
